City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,tual,-5.6667,132.75,26.07,84,100,10.95,ID,1720084481
183,miri,4.4148,114.0089,31.08,70,40,3.09,MY,1720084482
184,anadyr,64.75,177.4833,8.28,93,40,6.0,RU,1720084484
185,adrar,20.5022,-10.0711,35.04,9,2,7.42,MR,1720084485
186,olonkinbyen,70.9221,-8.7187,1.74,96,95,7.26,SJ,1720084489
187,tejen,37.3834,60.5054,39.55,10,28,3.61,TM,1720084490
188,soe,-9.8607,124.284,20.02,74,17,2.97,ID,1720084492
189,bamboo flat,11.7,92.7167,28.05,83,75,5.14,IN,1720084493
190,island harbour,50.724,-1.2758,16.77,65,59,5.36,GB,1720084495
191,nelson bay,-32.7167,152.15,15.06,62,76,0.89,AU,1720084497
192,kamphaeng phet,16.25,99.5,31.83,61,95,0.62,TH,1720084499
193,tritenii de jos,46.5833,24.0,15.75,89,100,1.41,RO,1720084500
194,bela,25.9333,81.9833,35.85,50,99,3.31,IN,1720084502
195,coquimbo,-29.9533,-71.3436,8.85,100,100,1.03,CL,1720084504
196,kingscliff,-28.2667,153.5667,14.87,88,75,7.2,AU,1720084506
197,rikaze,29.25,88.8833,20.18,42,99,4.36,CN,1720084507
198,shitanjing,39.2342,106.3439,28.51,21,100,9.56,CN,1720084509
199,sorong,-0.8833,131.25,27.13,79,100,1.82,ID,1720084510
200,nahiyat ash shinafiyah,31.5874,44.6602,42.61,10,0,8.65,IQ,1720084514
201,nikel,69.4128,30.222,11.1,83,100,2.02,RU,1720084516
202,tyukalinsk,55.8732,72.1967,22.03,60,86,4.6,RU,1720084518
203,at taj,24.2049,23.2857,37.98,13,6,3.99,LY,1720084519
204,turkmenbasy,40.0222,52.9552,30.43,37,0,4.12,TM,1720084521
205,guerrero negro,27.9769,-114.0611,19.69,84,92,1.66,MX,1720084522
206,yellowknife,62.456,-114.3525,16.29,77,100,4.63,CA,1720084524
207,al khawr,25.7667,51.3167,42.33,10,0,11.41,QA,1720084525
208,terrace,54.5163,-128.6035,14.01,71,0,1.54,CA,1720084527
209,santa terezinha,-29.9002,-50.0904,12.68,90,100,2.35,BR,1720084528
210,borogontsy,62.6683,131.1683,17.41,43,34,7.39,RU,1720084530
211,calabozo,8.9242,-67.4293,22.73,96,82,0.27,VE,1720084531
212,lebu,-37.6167,-73.65,7.1,78,97,5.27,CL,1720084533
213,mount gambier,-37.8333,140.7667,8.22,89,2,2.77,AU,1720084534
214,bolobo,-2.1667,16.2333,27.27,55,87,1.45,CD,1720084536
215,vila velha,-20.3297,-40.2925,15.97,100,0,0.0,BR,1720084537
216,bahar,34.9072,48.4414,32.09,13,0,2.06,IR,1720084539
217,kyzyl-kyya,40.2568,72.1279,30.4,18,100,3.82,KG,1720084540
218,kingston,17.997,-76.7936,28.53,79,20,7.2,JM,1720084542
219,gandajika,-6.75,23.95,30.9,21,72,3.71,CD,1720084544
220,port lincoln,-34.7333,135.8667,12.62,70,72,8.88,AU,1720084545
221,kununurra,-15.7667,128.7333,22.99,28,78,3.6,AU,1720084547
222,itoman,26.1247,127.6694,31.89,74,20,4.63,JP,1720084548
223,remire-montjoly,4.9167,-52.2667,23.02,100,20,1.03,GF,1720084550
224,canar,-2.55,-78.9333,8.59,90,100,2.14,EC,1720084553
225,tahe,52.3333,124.7333,37.42,18,58,0.35,CN,1720084554
226,selfoss,63.9331,-20.9971,10.58,76,97,3.29,IS,1720084556
227,tolanaro,-25.0319,46.9987,26.04,53,20,6.17,MG,1720084557
228,san jose,37.3394,-121.895,22.34,69,0,1.54,US,1720084256
229,st. paul,44.9444,-93.0933,18.86,86,0,0.0,US,1720084278
230,holbrook,40.8123,-73.0784,20.96,86,75,3.6,US,1720084562
231,crane,31.3974,-102.3501,27.06,53,11,7.21,US,1720084563
232,kadhan,24.481,68.9859,36.13,47,98,8.01,PK,1720084565
233,gouyave,12.1646,-61.7296,27.45,85,100,8.12,GD,1720084566
234,kamaishi,39.2667,141.8833,23.02,74,95,3.55,JP,1720084569
235,sebastopol,44.6,33.5333,25.0,57,86,1.79,UA,1720084572
236,taiynsha,53.8478,69.7639,23.15,55,97,5.28,KZ,1720084574
237,port augusta,-32.5,137.7667,13.3,55,65,5.42,AU,1720084575
238,labytnangi,66.6572,66.4183,26.42,51,72,4.23,RU,1720084577
239,tazovsky,67.4667,78.7,17.85,66,96,1.78,RU,1720084578
240,fale old settlement,-9.3852,-171.2468,28.57,78,22,10.72,TK,1720084580
241,vera,-29.4593,-60.2126,12.42,70,99,4.29,AR,1720084581
242,alaghsas,17.0187,8.0168,31.94,48,0,5.14,NE,1720084583
243,vilyuchinsk,52.9306,158.4028,10.15,95,100,0.95,RU,1720084585
244,ambon,-3.6954,128.1814,24.08,100,75,3.09,ID,1720084586
245,ungsang-nodongjagu,42.3578,130.4622,19.67,76,95,1.38,KP,1720084588
246,hermanus,-34.4187,19.2345,16.56,68,3,6.0,ZA,1720084589
247,duong dong,10.2167,103.9667,29.0,79,40,1.03,VN,1720084591
248,kedrovyy,56.1667,91.8167,22.23,60,95,3.77,RU,1720084592
249,iquique,-20.2208,-70.1431,15.02,81,0,1.21,CL,1720084594
250,namibe,-15.1961,12.1522,21.99,55,5,2.29,AO,1720084595
251,hami,42.8,93.45,33.74,14,46,3.9,CN,1720084597
252,nago,26.5881,127.9761,31.92,71,14,1.49,JP,1720084598
253,baker city,44.7749,-117.8344,10.84,54,0,1.54,US,1720084600
254,rio grande,-32.035,-52.0986,8.86,76,100,1.88,BR,1720084601
255,belmonte,-15.8631,-38.8828,21.28,80,26,1.15,BR,1720084603
256,stanley,54.868,-1.6985,14.73,63,6,9.72,GB,1720084604
257,arraial do cabo,-22.9661,-42.0278,17.92,100,0,2.06,BR,1720084606
258,newman,37.3138,-121.0208,26.13,68,0,0.45,US,1720084607
259,smara,26.7384,-11.6719,22.6,56,0,5.12,EH,1720084609
260,rauma,61.1272,21.5113,18.02,67,100,6.63,FI,1720084610
261,arrifes,37.7667,-25.7,20.14,68,40,3.6,PT,1720084612
262,jianshui,23.6363,102.8264,25.93,67,85,3.73,CN,1720084613
263,shahr-e babak,30.1165,55.1186,37.4,10,0,5.35,IR,1720084615
264,harstad,68.799,16.5293,16.8,91,86,2.24,NO,1720084616
265,touros,-5.1989,-35.4608,22.61,90,29,4.6,BR,1720084618
266,hilo,19.7297,-155.09,22.93,95,86,0.89,US,1720084499
267,beli,7.8587,10.9719,28.03,72,46,1.28,NG,1720084621
268,jinchang,38.4953,102.1739,21.48,43,100,2.7,CN,1720084622
269,tshabong,-26.05,22.45,14.09,38,0,5.44,BW,1720084624
270,raymondville,26.4815,-97.7831,27.06,85,3,3.81,US,1720084625
271,usakos,-22.0,15.6,23.24,7,0,4.52,NA,1720084628
272,yulinshi,38.2906,109.7494,34.23,19,68,2.07,CN,1720084630
273,nadym,65.5333,72.5167,27.03,42,36,4.0,RU,1720084631
274,enewetak,11.3474,162.3373,28.43,75,89,7.16,MH,1720084633
275,port saint john's,-31.6229,29.5448,20.14,39,5,7.87,ZA,1720084634
276,champasak,14.75,106.0,30.49,88,100,1.29,LA,1720084636
277,abepura,-2.6333,140.5833,27.45,83,20,2.06,ID,1720084637
278,bada,51.392,109.8717,30.59,29,100,2.75,RU,1720084639
279,tamanrasset,22.785,5.5228,30.95,29,6,4.12,DZ,1720084640
280,xilin hot,43.9667,116.0333,23.04,37,83,5.6,CN,1720084642
281,soligalich,59.0778,42.2864,26.0,46,14,2.04,RU,1720084645
282,hikari,33.955,131.95,29.99,88,37,2.0,JP,1720084646
283,viedma,-40.8135,-62.9967,4.63,41,7,7.92,AR,1720084648
284,namdrik,5.5994,168.1028,26.04,87,100,7.44,MH,1720084649
285,raja,8.4596,25.678,31.52,46,96,2.36,SS,1720084651
286,nikolayevsk-on-amure,53.1406,140.73,24.37,59,27,2.45,RU,1720084653
287,sogndal,61.2283,7.1003,15.21,66,100,2.57,NO,1720084654
288,caleta de carquin,-11.0925,-77.6267,16.85,86,100,2.16,PE,1720084656
289,anjiang,27.3194,110.1031,32.89,58,71,4.48,CN,1720084659
290,mount pearl,47.5166,-52.7813,11.29,99,75,0.0,CA,1720084660
291,fuglafjordur,62.244,-6.814,10.26,84,100,6.32,FO,1720084662
292,dudinka,69.4058,86.1778,15.63,64,98,3.54,RU,1720084663
293,nova zagora,42.4833,26.0167,27.15,36,91,1.22,BG,1720084665
294,quelimane,-17.8786,36.8883,26.85,56,5,0.91,MZ,1720084666
295,kemijarvi,66.7131,27.4306,17.11,65,96,3.41,FI,1720084668
296,leo,11.1,-2.1,23.78,85,98,5.19,BF,1720084669
297,port mathurin,-19.6833,63.4167,22.27,66,6,9.42,MU,1720084671
298,amga,60.8953,131.9608,19.65,36,83,4.7,RU,1720084672
299,uturoa,-16.7333,-151.4333,26.58,74,10,10.03,PF,1720084674
300,lihue,21.9789,-159.3672,24.77,85,75,7.72,US,1720084675
301,azacualpa,15.3433,-88.5514,24.36,100,54,0.88,HN,1720084677
302,thompson,55.7435,-97.8558,5.09,100,40,0.0,CA,1720084678
303,la passe,45.5549,-0.8967,19.13,75,18,5.95,FR,1720084680
304,moree,-29.4667,149.85,13.34,52,2,5.39,AU,1720084681
305,kone,-21.0595,164.8658,19.84,92,10,2.42,NC,1720084683
306,prado,-17.3411,-39.2208,20.48,80,0,1.33,BR,1720084685
307,hanko,59.8333,22.95,17.69,75,100,9.83,FI,1720084686
308,tidjikja,18.5564,-11.4271,26.58,43,100,5.0,MR,1720084688
309,hono,57.6897,11.6497,15.27,94,95,12.76,SE,1720084689
310,nuuk,64.1835,-51.7216,7.34,76,0,3.6,GL,1720084610
311,mwene-ditu,-7.0,23.45,29.79,22,63,3.75,CD,1720084692
312,aasiaat,68.7098,-52.8699,2.52,83,5,4.1,GL,1720084693
313,necochea,-38.5473,-58.7368,6.05,49,2,7.93,AR,1720084695
314,aromashevo,56.8602,68.6375,24.74,60,30,1.6,RU,1720084696
315,faro,37.0194,-7.9322,26.88,65,0,1.54,PT,1720084698
316,payson,40.0444,-111.7321,16.72,48,0,2.57,US,1720084700
317,thunder bay,48.4001,-89.3168,14.99,94,40,2.57,CA,1720084701
318,sinazongwe,-17.2614,27.4618,22.71,40,1,1.91,ZM,1720084703
319,seka,17.9285,103.9552,31.36,63,100,3.03,TH,1720084704
320,thai binh,20.45,106.3333,31.5,66,62,6.12,VN,1720084706
321,yorkton,51.2167,-102.4677,14.91,88,40,3.09,CA,1720084707
322,greymouth,-42.4667,171.2,2.91,88,11,2.04,NZ,1720084709
323,nemuro,43.3236,145.575,14.25,98,36,4.95,JP,1720084710
324,amarante do maranhao,-5.5667,-46.7422,20.06,70,4,1.69,BR,1720084712
325,cambui,-22.6122,-46.0575,13.43,78,0,0.58,BR,1720084713
326,sarankhola,22.3082,89.7897,31.38,69,99,4.59,BD,1720084715
327,la'ie,21.6477,-157.9253,25.98,83,61,2.68,US,1720084716
328,madang,-5.2246,145.7966,26.06,87,96,0.86,PG,1720084718
329,ongjin,37.9347,125.3619,22.47,94,100,5.06,KP,1720084719
330,kruisfontein,-34.0033,24.7314,16.05,66,80,9.62,ZA,1720084721
331,constantia,44.1833,28.65,26.5,45,79,4.5,RO,1720084722
332,happy valley-goose bay,53.3168,-60.3315,18.17,72,100,5.14,CA,1720084724
333,juan griego,11.0817,-63.9655,26.07,100,99,4.63,VE,1720084725
334,whitehorse,60.7161,-135.0538,12.43,71,75,4.63,CA,1720084727
335,jijel,36.8205,5.7667,27.97,36,0,3.09,DZ,1720084728
336,pemangkat,1.1667,108.9667,29.19,74,37,4.09,ID,1720084730
337,flin flon,54.7682,-101.865,11.05,78,31,1.77,CA,1720084731
338,mejit,10.2753,170.8646,27.79,80,100,5.49,MH,1720084734
339,bubaque,11.2833,-15.8333,26.84,80,77,7.19,GW,1720084736
340,tobol'sk,58.2,68.2667,28.08,50,100,2.16,RU,1720084737
341,hotan,37.0997,79.9269,36.59,12,0,1.88,CN,1720084739
342,saldanha,-33.0117,17.9442,15.1,69,0,4.49,ZA,1720084740
343,ulysses,37.5814,-101.3552,18.02,88,0,4.12,US,1720084742
344,sedhiou,12.7081,-15.5569,27.21,75,95,4.31,SN,1720084745
345,libertador general san martin,-23.8064,-64.7876,14.43,77,0,1.04,AR,1720084746
346,pucallpa,-8.3791,-74.5539,22.02,100,40,1.03,PE,1720084748
347,pimentel,-6.8367,-79.9342,20.16,73,100,2.06,PE,1720084749
348,egilsstadir,65.2653,-14.3948,6.95,93,100,3.09,IS,1720084751
349,hithadhoo,-0.6,73.0833,29.36,72,100,4.52,MV,1720084753
350,ebon,4.582,168.6964,26.29,80,100,4.02,MH,1720084754
351,katsuren-haebaru,26.3369,127.8719,31.89,73,0,3.6,JP,1720084756
352,sao vicente,-23.9631,-46.3919,23.48,69,4,2.01,BR,1720084757
353,kavaratti,10.5669,72.642,28.37,84,100,7.1,IN,1720084759
354,monitos,8.25,-76.05,23.54,92,98,1.41,CO,1720084760
355,al khums,32.6486,14.2619,26.46,55,0,6.48,LY,1720084762
356,szentgotthard,46.9526,16.2736,23.35,57,46,1.29,HU,1720084765
357,koluszki,51.7387,19.8199,20.61,56,16,2.74,PL,1720084766
358,ta`u,-14.2336,-169.5144,27.4,76,26,10.1,AS,1720084768
359,geraldton,-28.7667,114.6,17.23,51,0,5.66,AU,1720084769
360,phetchabun,16.25,101.0833,33.15,77,100,2.42,TH,1720084771
361,tulu bolo,8.6667,38.2167,22.23,55,17,3.2,ET,1720084772
362,vanino,49.0869,140.2543,21.14,95,100,2.6,RU,1720084774
363,natal,-5.795,-35.2094,22.36,100,40,2.06,BR,1720084679
364,metlili chaamba,32.2667,3.6333,32.52,21,0,2.06,DZ,1720084777
365,pangody,65.85,74.4859,25.75,43,84,3.37,RU,1720084778
366,itaituba,-4.2761,-55.9836,22.3,86,51,1.03,BR,1720084780
